name,inat_place_id,orgname,fws_region,prop_type
Las Vegas National Wildlife Refuge,119424,LAS VEGAS NATIONAL WILDLIFE REFUGE,2,NWR
Lee Metcalf National Wildlife Refuge,119425,LEE METCALF NATIONAL WILDLIFE REFUGE,6,NWR
Leopold Wetland Management District,119426,LEOPOLD WETLAND MANAGEMENT DISTRICT,3,WMD
Leslie Canyon National Wildlife Refuge,119427,LESLIE CANYON NATIONAL WILDLIFE REFUGE,2,NWR
Lewis And Clark National Wildlife Refuge,119428,LEWIS AND CLARK NATIONAL WILDLIFE REFUGE,1,NWR
Lido Beach Wildlife Management Area,119429,LIDO BEACH WILDLIFE MANAGEMENT AREA,5,WMA
Litchfield Wetland Management District,119430,LITCHFIELD WETLAND MANAGEMENT DISTRICT,3,WMD
Little Pend Oreille National Wildlife Refuge,119431,LITTLE PEND OREILLE NATIONAL WILDLIFE REFUGE,1,NWR
Little River National Wildlife Refuge,119432,LITTLE RIVER NATIONAL WILDLIFE REFUGE,2,NWR
Little Sandy National Wildlife Refuge,119433,LITTLE SANDY NATIONAL WILDLIFE REFUGE,2,NWR
Logan Cave National Wildlife Refuge,119165,LOGAN CAVE NATIONAL WILDLIFE REFUGE,4,NWR
Long Lake National Wildlife Refuge,119435,LONG LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Long Lake Wetland Management District,119436,LONG LAKE WETLAND MANAGEMENT DISTRICT,6,WMD
Lost Trail National Wildlife Refuge,119437,LOST TRAIL NATIONAL WILDLIFE REFUGE,6,NWR
Lostwood National Wildlife Refuge,119438,LOSTWOOD NATIONAL WILDLIFE REFUGE,6,NWR
Lostwood Wetland Management District,119439,LOSTWOOD WETLAND MANAGEMENT DISTRICT,6,WMD
Lower Hatchie National Wildlife Refuge,119440,LOWER HATCHIE NATIONAL WILDLIFE REFUGE,4,NWR
Lower Klamath National Wildlife Refuge,119444,LOWER KLAMATH NATIONAL WILDLIFE REFUGE,8,NWR
Lower Rio Grande Valley National Wildlife Refuge,119445,LOWER RIO GRANDE VALLEY NATIONAL WILDLIFE REFUGE,2,NWR
Lower Suwannee National Wildlife Refuge,119446,LOWER SUWANNEE NATIONAL WILDLIFE REFUGE,4,NWR
Mackay Island National Wildlife Refuge,119447,MACKAY ISLAND NATIONAL WILDLIFE REFUGE,4,NWR
Madison Wetland Management District,119434,MADISON WETLAND MANAGEMENT DISTRICT,6,WMD
Carlton Pond Waterfowl Production Area,119441,CARLTON POND WATERFOWL PRODUCTION AREA,5,WPA
Malheur National Wildlife Refuge,119442,MALHEUR NATIONAL WILDLIFE REFUGE,1,NWR
Mandalay National Wildlife Refuge,119443,MANDALAY NATIONAL WILDLIFE REFUGE,4,NWR
Marais Des Cygnes National Wildlife Refuge,119448,MARAIS DES CYGNES NATIONAL WILDLIFE REFUGE,6,NWR
Mariana Arc Of Fire National Wildlife Refuge,119449,MARIANA ARC OF FIRE NATIONAL WILDLIFE REFUGE,1,NWR
Mariana Trench National Wildlife Refuge,119450,MARIANA TRENCH NATIONAL WILDLIFE REFUGE,1,NWR
Marin Islands National Wildlife Refuge,119451,MARIN ISLANDS NATIONAL WILDLIFE REFUGE,8,NWR
Martin National Wildlife Refuge,119452,MARTIN NATIONAL WILDLIFE REFUGE,5,NWR
Mashpee National Wildlife Refuge,119453,MASHPEE NATIONAL WILDLIFE REFUGE,5,NWR
Mason Neck National Wildlife Refuge,119454,MASON NECK NATIONAL WILDLIFE REFUGE,5,NWR
Massasoit National Wildlife Refuge,119456,MASSASOIT NATIONAL WILDLIFE REFUGE,5,NWR
Mathews Brake National Wildlife Refuge,119458,MATHEWS BRAKE NATIONAL WILDLIFE REFUGE,4,NWR
Matlacha Pass National Wildlife Refuge,119459,MATLACHA PASS NATIONAL WILDLIFE REFUGE,4,NWR
Mattamuskeet National Wildlife Refuge,119460,MATTAMUSKEET NATIONAL WILDLIFE REFUGE,4,NWR
Maxwell National Wildlife Refuge,119455,MAXWELL NATIONAL WILDLIFE REFUGE,2,NWR
Mcfaddin National Wildlife Refuge,119461,MCFADDIN NATIONAL WILDLIFE REFUGE,2,NWR
Mckay Creek National Wildlife Refuge,119462,MCKAY CREEK NATIONAL WILDLIFE REFUGE,1,NWR
Mclean National Wildlife Refuge,119463,MCLEAN NATIONAL WILDLIFE REFUGE,6,NWR
Mcnary National Wildlife Refuge,119464,MCNARY NATIONAL WILDLIFE REFUGE,1,NWR
Medicine Lake National Wildlife Refuge,119465,MEDICINE LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Merced National Wildlife Refuge,119466,MERCED NATIONAL WILDLIFE REFUGE,8,NWR
Meredosia National Wildlife Refuge,119467,MEREDOSIA NATIONAL WILDLIFE REFUGE,3,NWR
Merritt Island National Wildlife Refuge,119468,MERRITT ISLAND NATIONAL WILDLIFE REFUGE,4,NWR
Michigan Islands National Wildlife Refuge,119469,MICHIGAN ISLANDS NATIONAL WILDLIFE REFUGE,3,NWR
Michigan Wetland Management District,119470,MICHIGAN WETLAND MANAGEMENT DISTRICT,3,WMD
Middle Mississippi River National Wildlife Refuge,119471,MIDDLE MISSISSIPPI RIVER NATIONAL WILDLIFE REFUGE,3,NWR
Midway Atoll National Wildlife Refuge,119472,MIDWAY ATOLL NATIONAL WILDLIFE REFUGE,1,NWR
Mille Lacs National Wildlife Refuge,119457,MILLE LACS NATIONAL WILDLIFE REFUGE,3,NWR
Mingo National Wildlife Refuge,119473,MINGO NATIONAL WILDLIFE REFUGE,3,NWR
Minidoka National Wildlife Refuge,119474,MINIDOKA NATIONAL WILDLIFE REFUGE,1,NWR
Minnesota Valley National Wildlife Refuge,119475,MINNESOTA VALLEY NATIONAL WILDLIFE REFUGE,3,NWR
Minnesota Valley Wetland Management District,119476,MINNESOTA VALLEY WETLAND MANAGEMENT DISTRICT,3,WMD
Missisquoi National Wildlife Refuge,119477,MISSISQUOI NATIONAL WILDLIFE REFUGE,5,NWR
Mississippi Sandhill Crane National Wildlife Refuge,119478,MISSISSIPPI SANDHILL CRANE NATIONAL WILDLIFE REFUGE,4,NWR
Moapa Valley National Wildlife Refuge,119479,MOAPA VALLEY NATIONAL WILDLIFE REFUGE,8,NWR
Modoc National Wildlife Refuge,119481,MODOC NATIONAL WILDLIFE REFUGE,8,NWR
Monomoy National Wildlife Refuge,119482,MONOMOY NATIONAL WILDLIFE REFUGE,5,NWR
Monte Vista National Wildlife Refuge,119485,MONTE VISTA NATIONAL WILDLIFE REFUGE,6,NWR
Montezuma National Wildlife Refuge,119486,MONTEZUMA NATIONAL WILDLIFE REFUGE,5,NWR
Moody National Wildlife Refuge,119487,MOODY NATIONAL WILDLIFE REFUGE,2,NWR
Moosehorn National Wildlife Refuge,119488,MOOSEHORN NATIONAL WILDLIFE REFUGE,5,NWR
Morgan Brake National Wildlife Refuge,119493,MORGAN BRAKE NATIONAL WILDLIFE REFUGE,4,NWR
Morris Wetland Management District,119494,MORRIS WETLAND MANAGEMENT DISTRICT,3,WMD
Mortenson Lake National Wildlife Refuge,119480,MORTENSON LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Mountain Bogs National Wildlife Refuge,119483,MOUNTAIN BOGS NATIONAL WILDLIFE REFUGE,4,NWR
Mountain Longleaf National Wildlife Refuge,119484,MOUNTAIN LONGLEAF NATIONAL WILDLIFE REFUGE,4,NWR
Muleshoe National Wildlife Refuge,119489,MULESHOE NATIONAL WILDLIFE REFUGE,2,NWR
Muscatatuck National Wildlife Refuge,119496,MUSCATATUCK NATIONAL WILDLIFE REFUGE,3,NWR
Nansemond National Wildlife Refuge,119497,NANSEMOND NATIONAL WILDLIFE REFUGE,5,NWR
Nantucket National Wildlife Refuge,119498,NANTUCKET NATIONAL WILDLIFE REFUGE,5,NWR
National Bison Range,119499,NATIONAL BISON RANGE,6,NWR
National Elk Refuge,119500,NATIONAL ELK REFUGE,6,NWR
National Key Deer Refuge,119501,NATIONAL KEY DEER REFUGE,4,NWR
Navassa Island National Wildlife Refuge,119502,NAVASSA ISLAND NATIONAL WILDLIFE REFUGE,4,NWR
Neal Smith National Wildlife Refuge,119503,NEAL SMITH NATIONAL WILDLIFE REFUGE,3,NWR
Necedah National Wildlife Refuge,119504,NECEDAH NATIONAL WILDLIFE REFUGE,3,NWR
Necedah Wildlife Management Area,119505,NECEDAH WILDLIFE MANAGEMENT AREA,3,WMA
Neches River National Wildlife Refuge,119506,NECHES RIVER NATIONAL WILDLIFE REFUGE,2,NWR
Nestucca Bay National Wildlife Refuge,119507,NESTUCCA BAY NATIONAL WILDLIFE REFUGE,1,NWR
Ninigret National Wildlife Refuge,119508,NINIGRET NATIONAL WILDLIFE REFUGE,5,NWR
Nomans Land Island National Wildlife Refuge,119512,NOMANS LAND ISLAND NATIONAL WILDLIFE REFUGE,5,NWR
North Central Valley Wildlife Management Area,119513,NORTH CENTRAL VALLEY WILDLIFE MANAGEMENT AREA,8,WMA
North Platte National Wildlife Refuge,119515,NORTH PLATTE NATIONAL WILDLIFE REFUGE,6,NWR
Northeast Montana Wetland Management District,119516,NORTHEAST MONTANA WETLAND MANAGEMENT DISTRICT,6,WMD
Northern Tallgrass Prairie National Wildlife Refuge,119517,NORTHERN TALLGRASS PRAIRIE NATIONAL WILDLIFE REFUGE,3,NWR
Northwest Montana Wetland Management District,119518,NORTHWEST MONTANA WETLAND MANAGEMENT DISTRICT,6,WMD
Nowitna National Wildlife Refuge,119519,NOWITNA NATIONAL WILDLIFE REFUGE,7,NWR
Oahu Forest National Wildlife Refuge,119520,OAHU FOREST NATIONAL WILDLIFE REFUGE,1,NWR
Occoquan Bay National Wildlife Refuge,119521,OCCOQUAN BAY NATIONAL WILDLIFE REFUGE,5,NWR
Ohio River Islands National Wildlife Refuge,119522,OHIO RIVER ISLANDS NATIONAL WILDLIFE REFUGE,5,NWR
Okefenokee National Wildlife Refuge,119523,OKEFENOKEE NATIONAL WILDLIFE REFUGE,4,NWR
Optima National Wildlife Refuge,119509,OPTIMA NATIONAL WILDLIFE REFUGE,2,NWR
Oregon Islands National Wildlife Refuge,119511,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,1,NWR
Ottawa National Wildlife Refuge,119510,OTTAWA NATIONAL WILDLIFE REFUGE,3,NWR
Ouray National Wildlife Refuge,119524,OURAY NATIONAL WILDLIFE REFUGE,6,NWR
Overflow National Wildlife Refuge,119525,OVERFLOW NATIONAL WILDLIFE REFUGE,4,NWR
Oxbow National Wildlife Refuge,119526,OXBOW NATIONAL WILDLIFE REFUGE,5,NWR
Oyster Bay National Wildlife Refuge,119527,OYSTER BAY NATIONAL WILDLIFE REFUGE,5,NWR
Ozark Cavefish National Wildlife Refuge,119528,OZARK CAVEFISH NATIONAL WILDLIFE REFUGE,3,NWR
Ozark Plateau National Wildlife Refuge,119529,OZARK PLATEAU NATIONAL WILDLIFE REFUGE,2,NWR
Pahranagat National Wildlife Refuge,119530,PAHRANAGAT NATIONAL WILDLIFE REFUGE,8,NWR
Palmyra Atoll National Wildlife Refuge,119531,PALMYRA ATOLL NATIONAL WILDLIFE REFUGE,1,NWR
Panther Swamp National Wildlife Refuge,119532,PANTHER SWAMP NATIONAL WILDLIFE REFUGE,4,NWR
Parker River National Wildlife Refuge,119533,PARKER RIVER NATIONAL WILDLIFE REFUGE,5,NWR
Passage Key National Wildlife Refuge,119514,PASSAGE KEY NATIONAL WILDLIFE REFUGE,4,NWR
Pathfinder National Wildlife Refuge,119490,PATHFINDER NATIONAL WILDLIFE REFUGE,6,NWR
Patoka River National Wildlife Refuge,119491,PATOKA RIVER NATIONAL WILDLIFE REFUGE,3,NWR
Patuxent Research Refuge,119492,PATUXENT RESEARCH REFUGE,5,NWR
Pea Island National Wildlife Refuge,119495,PEA ISLAND NATIONAL WILDLIFE REFUGE,4,NWR
Pearl Harbor National Wildlife Refuge,119534,PEARL HARBOR NATIONAL WILDLIFE REFUGE,1,NWR
Pee Dee National Wildlife Refuge,119535,PEE DEE NATIONAL WILDLIFE REFUGE,4,NWR
Pelican Island National Wildlife Refuge,119536,PELICAN ISLAND NATIONAL WILDLIFE REFUGE,4,NWR
Petit Manan National Wildlife Refuge,119541,PETIT MANAN NATIONAL WILDLIFE REFUGE,5,NWR
Piedmont National Wildlife Refuge,119693,PIEDMONT NATIONAL WILDLIFE REFUGE,4,NWR
Pierce National Wildlife Refuge,119542,PIERCE NATIONAL WILDLIFE REFUGE,1,NWR
Pilot Knob National Wildlife Refuge,119543,PILOT KNOB NATIONAL WILDLIFE REFUGE,3,NWR
Pinckney Island National Wildlife Refuge,119544,PINCKNEY ISLAND NATIONAL WILDLIFE REFUGE,4,NWR
Pine Island National Wildlife Refuge,119545,PINE ISLAND NATIONAL WILDLIFE REFUGE,4,NWR
Pinellas National Wildlife Refuge,119546,PINELLAS NATIONAL WILDLIFE REFUGE,4,NWR
Pixley National Wildlife Refuge,119550,PIXLEY NATIONAL WILDLIFE REFUGE,8,NWR
Plum Tree Island National Wildlife Refuge,119551,PLUM TREE ISLAND NATIONAL WILDLIFE REFUGE,5,NWR
Pocosin Lakes National Wildlife Refuge,119552,POCOSIN LAKES NATIONAL WILDLIFE REFUGE,4,NWR
Pond Creek National Wildlife Refuge,119553,POND CREEK NATIONAL WILDLIFE REFUGE,4,NWR
Pond Island National Wildlife Refuge,119537,POND ISLAND NATIONAL WILDLIFE REFUGE,5,NWR
Port Louisa National Wildlife Refuge,119538,PORT LOUISA NATIONAL WILDLIFE REFUGE,3,NWR
Presquile National Wildlife Refuge,119539,PRESQUILE NATIONAL WILDLIFE REFUGE,5,NWR
Prime Hook National Wildlife Refuge,119540,PRIME HOOK NATIONAL WILDLIFE REFUGE,5,NWR
Protection Island National Wildlife Refuge,119554,PROTECTION ISLAND NATIONAL WILDLIFE REFUGE,1,NWR
Quivira National Wildlife Refuge,119555,QUIVIRA NATIONAL WILDLIFE REFUGE,6,NWR
Rachel Carson National Wildlife Refuge,119556,RACHEL CARSON NATIONAL WILDLIFE REFUGE,5,NWR
Rainwater Basin Wetland Management District,119557,RAINWATER BASIN WETLAND MANAGEMENT DISTRICT,6,WMD
Rappahannock River Valley National Wildlife Refuge,119558,RAPPAHANNOCK RIVER VALLEY NATIONAL WILDLIFE REFUGE,5,NWR
Red River National Wildlife Refuge,119559,RED RIVER NATIONAL WILDLIFE REFUGE,4,NWR
Red Rock Lakes National Wildlife Refuge,119560,RED ROCK LAKES NATIONAL WILDLIFE REFUGE,6,NWR
Reelfoot National Wildlife Refuge,119561,REELFOOT NATIONAL WILDLIFE REFUGE,4,NWR
Rice Lake National Wildlife Refuge,119562,RICE LAKE NATIONAL WILDLIFE REFUGE,3,NWR
Ridgefield National Wildlife Refuge,119563,RIDGEFIELD NATIONAL WILDLIFE REFUGE,1,NWR
Rio Mora National Wildlife Refuge And Conservation Area,119564,RIO MORA NATIONAL WILDLIFE REFUGE  AND CONSERVATION AREA,2,NWR
Roanoke River National Wildlife Refuge,119565,ROANOKE RIVER NATIONAL WILDLIFE REFUGE,4,NWR
Rock Lake National Wildlife Refuge,119566,ROCK LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Rocky Flats National Wildlife Refuge,119568,ROCKY FLATS NATIONAL WILDLIFE REFUGE,6,NWR
Rocky Mountain Arsenal National Wildlife Refuge,119569,ROCKY MOUNTAIN ARSENAL NATIONAL WILDLIFE REFUGE,6,NWR
Rose Atoll National Wildlife Refuge,119570,ROSE ATOLL NATIONAL WILDLIFE REFUGE,1,NWR
Ruby Lake National Wildlife Refuge,119547,RUBY LAKE NATIONAL WILDLIFE REFUGE,8,NWR
Rydell National Wildlife Refuge,119548,RYDELL NATIONAL WILDLIFE REFUGE,3,NWR
Sabine National Wildlife Refuge,119549,SABINE NATIONAL WILDLIFE REFUGE,4,NWR
Sachuest Point National Wildlife Refuge,119571,SACHUEST POINT NATIONAL WILDLIFE REFUGE,5,NWR
Sacramento National Wildlife Refuge,119572,SACRAMENTO NATIONAL WILDLIFE REFUGE,8,NWR
Sacramento River National Wildlife Refuge,119573,SACRAMENTO RIVER NATIONAL WILDLIFE REFUGE,8,NWR
Saddle Mountain National Wildlife Refuge,119574,SADDLE MOUNTAIN NATIONAL WILDLIFE REFUGE,1,NWR
Salinas River National Wildlife Refuge,119575,SALINAS RIVER NATIONAL WILDLIFE REFUGE,8,NWR
Salt Plains National Wildlife Refuge,119577,SALT PLAINS NATIONAL WILDLIFE REFUGE,2,NWR
Sam D. Hamilton Noxubee National Wildlife Refuge,119578,SAM D. HAMILTON NOXUBEE NATIONAL WILDLIFE REFUGE,4,NWR
San Andres National Wildlife Refuge,119579,SAN ANDRES NATIONAL WILDLIFE REFUGE,2,NWR
San Bernard National Wildlife Refuge,119580,SAN BERNARD NATIONAL WILDLIFE REFUGE,2,NWR
San Bernardino National Wildlife Refuge,119581,SAN BERNARDINO NATIONAL WILDLIFE REFUGE,2,NWR
San Diego Bay National Wildlife Refuge,119582,SAN DIEGO BAY NATIONAL WILDLIFE REFUGE,8,NWR
San Diego National Wildlife Refuge,119583,SAN DIEGO NATIONAL WILDLIFE REFUGE,8,NWR
San Joaquin River National Wildlife Refuge,119584,SAN JOAQUIN RIVER NATIONAL WILDLIFE REFUGE,8,NWR
San Juan Islands National Wildlife Refuge,119585,SAN JUAN ISLANDS NATIONAL WILDLIFE REFUGE,1,NWR
San Luis National Wildlife Refuge,119586,SAN LUIS NATIONAL WILDLIFE REFUGE,8,NWR
San Pablo Bay National Wildlife Refuge,119587,SAN PABLO BAY NATIONAL WILDLIFE REFUGE,8,NWR
Sand Lake National Wildlife Refuge,119588,SAND LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Sand Lake Wetland Management District,119589,SAND LAKE WETLAND MANAGEMENT DISTRICT,6,WMD
Sandy Point National Wildlife Refuge,119576,SANDY POINT NATIONAL WILDLIFE REFUGE,4,NWR
Santa Ana National Wildlife Refuge,119590,SANTA ANA NATIONAL WILDLIFE REFUGE,2,NWR
Santee National Wildlife Refuge,119591,SANTEE NATIONAL WILDLIFE REFUGE,4,NWR
Sauta Cave National Wildlife Refuge,119592,SAUTA CAVE NATIONAL WILDLIFE REFUGE,4,NWR
Savannah National Wildlife Refuge,119593,SAVANNAH NATIONAL WILDLIFE REFUGE,4,NWR
Seal Beach National Wildlife Refuge,119594,SEAL BEACH NATIONAL WILDLIFE REFUGE,8,NWR
Seal Island National Wildlife Refuge,119595,SEAL ISLAND NATIONAL WILDLIFE REFUGE,5,NWR
Seatuck National Wildlife Refuge,119567,SEATUCK NATIONAL WILDLIFE REFUGE,5,NWR
Seedskadee National Wildlife Refuge,119596,SEEDSKADEE NATIONAL WILDLIFE REFUGE,6,NWR
Selawik National Wildlife Refuge,119696,SELAWIK NATIONAL WILDLIFE REFUGE,7,NWR
Seney National Wildlife Refuge,119597,SENEY NATIONAL WILDLIFE REFUGE,3,NWR
Sequoyah National Wildlife Refuge,119599,SEQUOYAH NATIONAL WILDLIFE REFUGE,2,NWR
Sevilleta National Wildlife Refuge,119601,SEVILLETA NATIONAL WILDLIFE REFUGE,2,NWR
Shawangunk Grasslands National Wildlife Refuge,119602,SHAWANGUNK GRASSLANDS NATIONAL WILDLIFE REFUGE,5,NWR
Sheldon National Wildlife Refuge,119603,SHELDON NATIONAL WILDLIFE REFUGE,1,NWR
Shell Keys National Wildlife Refuge,119598,SHELL KEYS NATIONAL WILDLIFE REFUGE,4,NWR
Shell Lake National Wildlife Refuge,119600,SHELL LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Sherburne National Wildlife Refuge,119611,SHERBURNE NATIONAL WILDLIFE REFUGE,3,NWR
Shiawassee National Wildlife Refuge,119612,SHIAWASSEE NATIONAL WILDLIFE REFUGE,3,NWR
Siletz Bay National Wildlife Refuge,119613,SILETZ BAY NATIONAL WILDLIFE REFUGE,1,NWR
Silvio O. Conte National Fish And Wildlife Refuge,119614,SILVIO O. CONTE NATIONAL FISH AND WILDLIFE REFUGE,5,NWR
Slade National Wildlife Refuge,119615,SLADE NATIONAL WILDLIFE REFUGE,6,NWR
Sonny Bono Salton Sea National Wildlife Refuge,119604,SONNY BONO SALTON SEA NATIONAL WILDLIFE REFUGE,8,NWR
Oxford Slough Waterfowl Production Area,119212,OXFORD SLOUGH WATERFOWL PRODUCTION AREA,1,WPA
Loess Bluffs National Wildlife Refuge,119605,LOESS BLUFFS NATIONAL WILDLIFE REFUGE,3,NWR
St. Catherine Creek National Wildlife Refuge,119606,ST. CATHERINE CREEK NATIONAL WILDLIFE REFUGE,4,NWR
St. Croix Wetland Management District,119607,ST. CROIX WETLAND MANAGEMENT DISTRICT,3,WMD
St. Johns National Wildlife Refuge,119608,ST. JOHNS NATIONAL WILDLIFE REFUGE,4,NWR
St. Marks National Wildlife Refuge,119609,ST. MARKS NATIONAL WILDLIFE REFUGE,4,NWR
St. Vincent National Wildlife Refuge,119610,ST. VINCENT NATIONAL WILDLIFE REFUGE,4,NWR
Steigerwald Lake National Wildlife Refuge,119618,STEIGERWALD LAKE NATIONAL WILDLIFE REFUGE,1,NWR
Stewart B. Mckinney National Wildlife Refuge,119616,STEWART B. MCKINNEY NATIONAL WILDLIFE REFUGE,5,NWR
Stewart Lake National Wildlife Refuge,119157,STEWART LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Stillwater National Wildlife Refuge,119619,STILLWATER NATIONAL WILDLIFE REFUGE,8,NWR
Stone Lakes National Wildlife Refuge,119624,STONE LAKES NATIONAL WILDLIFE REFUGE,8,NWR
Storm Lake National Wildlife Refuge,119625,STORM LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Stump Lake National Wildlife Refuge,119617,STUMP LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Sullys Hill National Game Preserve,119620,SULLYS HILL NATIONAL GAME PRESERVE,6,NWR
Sunburst Lake National Wildlife Refuge,119621,SUNBURST LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Sunkhaze Meadows National Wildlife Refuge,119622,SUNKHAZE MEADOWS NATIONAL WILDLIFE REFUGE,5,NWR
Supawna Meadows National Wildlife Refuge,119623,SUPAWNA MEADOWS NATIONAL WILDLIFE REFUGE,5,NWR
Susquehanna National Wildlife Refuge,119626,SUSQUEHANNA NATIONAL WILDLIFE REFUGE,5,NWR
Sutter National Wildlife Refuge,119627,SUTTER NATIONAL WILDLIFE REFUGE,8,NWR
Swan Lake National Wildlife Refuge,119628,SWAN LAKE NATIONAL WILDLIFE REFUGE,3,NWR
Swan River National Wildlife Refuge,119629,SWAN RIVER NATIONAL WILDLIFE REFUGE,6,NWR
Swanquarter National Wildlife Refuge,119630,SWANQUARTER NATIONAL WILDLIFE REFUGE,4,NWR
Tallahatchie National Wildlife Refuge,119631,TALLAHATCHIE NATIONAL WILDLIFE REFUGE,4,NWR
Tamarac National Wildlife Refuge,119632,TAMARAC NATIONAL WILDLIFE REFUGE,3,NWR
Tamarac Wetland Management District,119633,TAMARAC WETLAND MANAGEMENT DISTRICT,3,WMD
Target Rock National Wildlife Refuge,119634,TARGET ROCK NATIONAL WILDLIFE REFUGE,5,NWR
Ten Thousand Islands National Wildlife Refuge,119635,TEN THOUSAND ISLANDS NATIONAL WILDLIFE REFUGE,4,NWR
Tennessee National Wildlife Refuge,119636,TENNESSEE NATIONAL WILDLIFE REFUGE,4,NWR
Tensas River National Wildlife Refuge,119637,TENSAS RIVER NATIONAL WILDLIFE REFUGE,4,NWR
Tetlin National Wildlife Refuge,119694,TETLIN NATIONAL WILDLIFE REFUGE,7,NWR
Tewaukon National Wildlife Refuge,119638,TEWAUKON NATIONAL WILDLIFE REFUGE,6,NWR
Tewaukon Wetland Management District,119639,TEWAUKON WETLAND MANAGEMENT DISTRICT,6,WMD
Texas Point National Wildlife Refuge,119640,TEXAS POINT NATIONAL WILDLIFE REFUGE,2,NWR
Thacher Island National Wildlife Refuge,119642,THACHER ISLAND NATIONAL WILDLIFE REFUGE,5,NWR
Theodore Roosevelt National Wildlife Refuge,119644,THEODORE ROOSEVELT NATIONAL WILDLIFE REFUGE,4,NWR
Tijuana Slough National Wildlife Refuge,119641,TIJUANA SLOUGH NATIONAL WILDLIFE REFUGE,8,NWR
Tishomingo National Wildlife Refuge,119643,TISHOMINGO NATIONAL WILDLIFE REFUGE,2,NWR
Togiak National Wildlife Refuge,119692,TOGIAK NATIONAL WILDLIFE REFUGE,7,NWR
Toppenish National Wildlife Refuge,119645,TOPPENISH NATIONAL WILDLIFE REFUGE,1,NWR
Trempealeau National Wildlife Refuge,119646,TREMPEALEAU NATIONAL WILDLIFE REFUGE,3,NWR
Trinity River National Wildlife Refuge,119647,TRINITY RIVER NATIONAL WILDLIFE REFUGE,2,NWR
Trustom Pond National Wildlife Refuge,119650,TRUSTOM POND NATIONAL WILDLIFE REFUGE,5,NWR
Tualatin River National Wildlife Refuge,119651,TUALATIN RIVER NATIONAL WILDLIFE REFUGE,1,NWR
Tule Lake National Wildlife Refuge,119648,TULE LAKE NATIONAL WILDLIFE REFUGE,8,NWR
Turnbull National Wildlife Refuge,119649,TURNBULL NATIONAL WILDLIFE REFUGE,1,NWR
Two Ponds National Wildlife Refuge,119656,TWO PONDS NATIONAL WILDLIFE REFUGE,6,NWR
Two Rivers National Wildlife Refuge,119657,TWO RIVERS NATIONAL WILDLIFE REFUGE,3,NWR
Tybee National Wildlife Refuge,119659,TYBEE NATIONAL WILDLIFE REFUGE,4,NWR
Ul Bend National Wildlife Refuge,119660,UL BEND NATIONAL WILDLIFE REFUGE,6,NWR
Umatilla National Wildlife Refuge,119661,UMATILLA NATIONAL WILDLIFE REFUGE,1,NWR
Umbagog National Wildlife Refuge,119662,UMBAGOG NATIONAL WILDLIFE REFUGE,5,NWR
Union Slough National Wildlife Refuge,119663,UNION SLOUGH NATIONAL WILDLIFE REFUGE,3,NWR
Upper Klamath National Wildlife Refuge,119652,UPPER KLAMATH NATIONAL WILDLIFE REFUGE,8,NWR
Upper Mississippi River National Wildlife And Fish Refuge,119655,UPPER MISSISSIPPI RIVER NATIONAL WILDLIFE AND FISH REFUGE,3,NWR
Upper Ouachita National Wildlife Refuge,119653,UPPER OUACHITA NATIONAL WILDLIFE REFUGE,4,NWR
Upper Souris National Wildlife Refuge,119654,UPPER SOURIS NATIONAL WILDLIFE REFUGE,6,NWR
Valentine National Wildlife Refuge,119658,VALENTINE NATIONAL WILDLIFE REFUGE,6,NWR
Valle De Oro National Wildlife Refuge,119360,VALLE DE ORO NATIONAL WILDLIFE REFUGE,2,NWR
Valley City Wetland Management District,119361,VALLEY CITY WETLAND MANAGEMENT DISTRICT,6,WMD
Vieques National Wildlife Refuge,119362,VIEQUES NATIONAL WILDLIFE REFUGE,4,NWR
Waccamaw National Wildlife Refuge,119363,WACCAMAW NATIONAL WILDLIFE REFUGE,4,NWR
Wake Atoll National Wildlife Refuge,119366,WAKE ATOLL NATIONAL WILDLIFE REFUGE,1,NWR
Wallkill River National Wildlife Refuge,119367,WALLKILL RIVER NATIONAL WILDLIFE REFUGE,5,NWR
Wallops Island National Wildlife Refuge,119664,WALLOPS ISLAND NATIONAL WILDLIFE REFUGE,5,NWR
Wapack National Wildlife Refuge,119665,WAPACK NATIONAL WILDLIFE REFUGE,5,NWR
Wapanocca National Wildlife Refuge,119666,WAPANOCCA NATIONAL WILDLIFE REFUGE,4,NWR
Wapato Lake National Wildlife Refuge,119667,WAPATO LAKE NATIONAL WILDLIFE REFUGE,1,NWR
War Horse National Wildlife Refuge,119668,WAR HORSE NATIONAL WILDLIFE REFUGE,6,NWR
Washita National Wildlife Refuge,119669,WASHITA NATIONAL WILDLIFE REFUGE,2,NWR
Wassaw National Wildlife Refuge,119670,WASSAW NATIONAL WILDLIFE REFUGE,4,NWR
