name,inat_place_id,orgname,fws_region,prop_type
Canfield Lake National Wildlife Refuge,119247,CANFIELD LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Cape May National Wildlife Refuge,119248,CAPE MAY NATIONAL WILDLIFE REFUGE,5,NWR
Cape Meares National Wildlife Refuge,119249,CAPE MEARES NATIONAL WILDLIFE REFUGE,1,NWR
Cape Romain National Wildlife Refuge,119250,CAPE ROMAIN NATIONAL WILDLIFE REFUGE,4,NWR
Carolina Sandhills National Wildlife Refuge,119251,CAROLINA SANDHILLS NATIONAL WILDLIFE REFUGE,4,NWR
Castle Rock National Wildlife Refuge,119252,CASTLE ROCK NATIONAL WILDLIFE REFUGE,8,NWR
Cat Island National Wildlife Refuge,119254,CAT ISLAND NATIONAL WILDLIFE REFUGE,4,NWR
Catahoula National Wildlife Refuge,119255,CATAHOULA NATIONAL WILDLIFE REFUGE,4,NWR
Cedar Island National Wildlife Refuge,119256,CEDAR ISLAND NATIONAL WILDLIFE REFUGE,4,NWR
Cedar Keys National Wildlife Refuge,119257,CEDAR KEYS NATIONAL WILDLIFE REFUGE,4,NWR
Cedar Point National Wildlife Refuge,119177,CEDAR POINT NATIONAL WILDLIFE REFUGE,3,NWR
Charles M. Russell National Wildlife Refuge,119689,CHARLES M. RUSSELL NATIONAL WILDLIFE REFUGE,6,NWR
Charles M. Russell Wetland Management District,119180,CHARLES M. RUSSELL WETLAND MANAGEMENT DISTRICT,6,WMD
Chase Lake National Wildlife Refuge,119181,CHASE LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Chase Lake Wetland Management District,119182,CHASE LAKE WETLAND MANAGEMENT DISTRICT,6,WMD
Chassahowitzka National Wildlife Refuge,119183,CHASSAHOWITZKA NATIONAL WILDLIFE REFUGE,4,NWR
Chautauqua National Wildlife Refuge,119259,CHAUTAUQUA NATIONAL WILDLIFE REFUGE,3,NWR
Cherry Valley National Wildlife Refuge,119261,CHERRY VALLEY NATIONAL WILDLIFE REFUGE,5,NWR
Chickasaw National Wildlife Refuge,119262,CHICKASAW NATIONAL WILDLIFE REFUGE,4,NWR
Chincoteague National Wildlife Refuge,119263,CHINCOTEAGUE NATIONAL WILDLIFE REFUGE,5,NWR
Choctaw National Wildlife Refuge,119265,CHOCTAW NATIONAL WILDLIFE REFUGE,4,NWR
Cibola National Wildlife Refuge,119266,CIBOLA NATIONAL WILDLIFE REFUGE,2,NWR
Clarence Cannon National Wildlife Refuge,119193,CLARENCE CANNON NATIONAL WILDLIFE REFUGE,3,NWR
Clarks River National Wildlife Refuge,119194,CLARKS RIVER NATIONAL WILDLIFE REFUGE,4,NWR
Clear Lake National Wildlife Refuge,119195,CLEAR LAKE NATIONAL WILDLIFE REFUGE,8,NWR
Coachella Valley National Wildlife Refuge,119264,COACHELLA VALLEY NATIONAL WILDLIFE REFUGE,8,NWR
Cokeville Meadows National Wildlife Refuge,119269,COKEVILLE MEADOWS NATIONAL WILDLIFE REFUGE,6,NWR
Cold Springs National Wildlife Refuge,119270,COLD SPRINGS NATIONAL WILDLIFE REFUGE,1,NWR
Coldwater River National Wildlife Refuge,119267,COLDWATER RIVER NATIONAL WILDLIFE REFUGE,4,NWR
Colorado River Wildlife Management Area,119268,COLORADO RIVER WILDLIFE MANAGEMENT AREA,6,WMA
Columbia National Wildlife Refuge,119271,COLUMBIA NATIONAL WILDLIFE REFUGE,1,NWR
Colusa National Wildlife Refuge,119272,COLUSA NATIONAL WILDLIFE REFUGE,8,NWR
Conboy Lake National Wildlife Refuge,119273,CONBOY LAKE NATIONAL WILDLIFE REFUGE,1,NWR
Conscience Point National Wildlife Refuge,119274,CONSCIENCE POINT NATIONAL WILDLIFE REFUGE,5,NWR
Copalis National Wildlife Refuge,119275,COPALIS NATIONAL WILDLIFE REFUGE,1,NWR
Crab Orchard National Wildlife Refuge,119276,CRAB ORCHARD NATIONAL WILDLIFE REFUGE,3,NWR
